rapid_accelerations,hard_brakes,sharp_turns,night_hours_driving,driver_safety_rating
9,6,5,1.5,23.0
2,9,7,3.0,30.3
8,9,4,3.6,14.2
6,3,7,5.3,30.8
3,3,2,4.9,58.3
0,1,5,1.5,75.3
10,7,9,1.0,10.0
5,12,7,4.2,10.0
0,5,8,0.5,57.6
3,1,6,4.9,56.5
3,5,5,4.9,43.9
7,5,6,1.6,35.5
8,14,6,7.6,10.0
6,7,2,4.6,36.8
2,10,1,8.0,32.6
11,8,0,0.3,27.1
0,7,3,6.1,48.4
8,12,7,2.1,10.0
9,4,0,4.1,41.2
11,12,9,0.8,10.0
1,8,9,1.2,34.0
11,3,0,2.5,42.7
10,12,3,6.2,10.0
6,5,3,6.6,35.2
6,2,1,1.4,65.0
7,9,0,1.0,36.2
1,12,5,7.6,13.7
1,8,0,5.8,49.4
2,8,7,1.1,37.9
4,14,4,0.6,15.7
9,5,8,3.1,19.7
10,10,8,0.9,10.0
5,6,7,5.7,21.7
2,12,6,1.5,29.5
2,7,0,3.9,53.0
5,3,4,2.9,48.0
11,0,1,5.0,45.1
10,8,4,7.4,10.0
10,2,6,3.4,30.4
0,13,9,3.8,13.0
1,4,1,6.9,60.1
2,2,6,5.1,53.6
6,3,1,0.4,61.6
0,8,6,0.2,49.0
6,9,7,7.5,10.0
2,1,3,1.6,73.1
5,1,6,7.3,44.0
1,2,7,3.5,61.3
10,3,8,3.7,20.4
1,1,7,7.9,52.4
7,8,5,4.1,19.9
1,4,0,7.8,59.9
0,2,8,5.1,56.3
10,3,6,6.2,18.2
3,11,6,0.5,29.5
3,1,0,0.1,86.7
5,9,6,5.8,12.1
5,0,4,4.1,61.5
11,11,1,6.4,10.0
9,4,4,1.4,33.9
9,11,2,6.5,10.0
7,5,2,5.3,38.5
0,14,1,2.0,36.4
4,10,5,7.3,12.6
7,10,6,7.8,10.0
7,11,8,3.7,10.0
5,1,3,3.6,63.1
5,9,6,4.6,16.3
3,1,7,5.7,48.3
0,14,4,5.6,18.8
5,5,0,4.3,52.9
8,9,3,7.3,10.0
7,9,9,1.3,10.0
0,5,5,1.6,60.6
6,0,7,5.8,38.8
8,6,6,5.9,17.0
6,12,3,3.1,15.9
0,11,4,2.4,38.9
10,10,1,0.4,21.0
9,2,1,3.1,51.1
2,13,7,2.0,16.0
1,4,3,6.7,57.0
7,7,5,3.9,24.6
7,5,7,4.5,26.1
9,7,0,5.9,24.7
6,11,2,2.4,24.2
10,0,5,7.1,30.7
1,10,2,3.2,41.5
2,7,5,0.9,44.1
8,2,9,6.9,20.1
0,7,7,7.4,32.0
2,8,4,1.7,46.7
4,14,3,5.2,10.0
8,12,2,5.5,10.0
1,2,2,2.0,80.2
8,3,3,3.4,41.4
10,3,5,3.2,29.7
1,10,4,5.0,32.1
3,1,0,3.9,75.4
5,8,3,5.4,28.4
3,11,9,0.7,16.2
7,8,3,2.3,26.8
11,12,0,0.4,10.0
1,10,0,4.4,46.5
1,10,3,3.4,38.5
2,9,3,7.7,30.5
0,6,3,2.4,56.1
8,13,3,2.2,10.0
8,10,1,2.8,23.7
7,6,6,3.8,20.9
9,14,3,4.9,10.0
7,9,9,2.9,10.0
6,7,2,5.4,32.8
1,2,9,5.8,47.6
4,1,3,5.9,57.0
8,12,2,6.8,10.0
6,13,8,1.2,10.0
5,3,4,6.0,43.9
3,0,9,2.4,55.3
8,6,5,5.8,19.2
4,7,9,0.2,29.9
6,12,1,1.7,22.9
6,5,3,3.9,39.4
1,12,6,4.7,23.9
7,11,8,7.6,10.0
3,11,9,2.0,17.1
5,10,7,4.2,11.0
8,12,7,3.9,10.0
4,9,2,5.5,28.9
7,0,7,1.9,53.5
4,6,8,7.4,21.7
6,9,5,8.0,10.0
0,13,9,7.1,10.0
7,1,8,5.6,32.9
8,2,5,5.4,37.9
3,10,7,6.0,13.0
10,4,7,4.5,17.1
0,5,8,1.9,48.5
8,9,6,7.1,10.0
10,9,6,5.3,10.0
11,10,3,0.6,11.4
4,5,3,4.0,48.4
9,12,3,3.6,10.0
10,6,6,0.8,22.0
2,5,3,2.9,55.9
11,12,8,1.7,10.0
0,7,1,0.4,68.6
10,8,7,0.2,10.4
1,13,1,2.2,34.4
7,11,8,0.7,10.0
5,6,9,6.7,16.0
8,10,8,7.8,10.0
3,6,5,3.7,41.9
3,2,4,4.7,54.9
2,1,3,7.6,57.9
9,11,8,6.0,10.0
6,6,6,4.1,23.7
10,9,7,3.4,10.0
0,6,2,6.0,53.8
0,10,3,2.6,47.1
9,3,9,6.0,15.0
3,6,0,0.6,66.0
11,6,1,4.1,26.3
2,10,0,1.4,48.7
0,13,1,5.9,29.1
7,6,7,7.8,15.5
3,8,2,5.2,39.3
2,10,5,5.8,25.6
0,12,7,1.3,27.7
2,0,3,4.4,74.5
2,8,9,6.2,17.8
1,3,6,6.9,47.0
0,3,0,7.8,68.4
4,3,3,6.0,48.5
0,4,2,4.6,63.9
2,13,8,6.5,10.0
11,11,0,2.1,15.1
4,0,8,7.0,46.9
0,3,0,6.3,72.6
7,11,3,1.3,15.5
0,5,4,6.8,54.6
8,3,7,6.6,21.5
7,4,3,7.4,31.5
4,0,6,7.2,48.8
1,9,6,2.6,36.2
9,8,6,4.1,10.0
8,6,5,6.4,17.0
5,7,6,6.2,23.2
2,7,5,6.5,38.1
2,9,1,1.9,45.3
0,7,9,6.3,29.6
2,10,7,0.8,32.1
8,3,5,3.9,33.1
5,7,2,0.4,48.4
2,8,1,3.6,48.4
0,2,3,2.0,77.2
0,11,7,4.2,26.0
5,6,1,5.7,40.0
11,10,5,0.2,10.0
10,14,7,2.1,10.0
9,6,6,1.2,21.4
7,5,6,1.5,32.4
11,1,9,4.7,24.2
9,2,0,0.5,58.5
5,6,9,5.6,15.3
0,10,1,1.9,52.8
1,9,7,7.7,23.4
1,7,6,7.5,32.2
6,10,6,5.9,10.0
11,14,3,6.3,10.0
10,11,8,5.8,10.0
10,11,5,5.8,10.0
5,13,6,1.4,14.3
3,10,0,7.4,28.5
1,12,9,6.4,10.0
9,6,8,4.6,11.4
1,7,4,1.3,52.9
1,2,9,6.2,44.3
5,6,8,7.3,17.5
5,11,8,3.8,10.0
6,5,8,0.7,37.2
1,2,9,7.7,46.4
10,2,3,1.4,47.2
8,3,6,6.4,27.3
2,10,1,7.9,27.1
10,0,7,2.3,38.3
10,5,7,0.8,26.2
8,10,3,6.5,10.0
10,12,9,0.6,10.0
5,9,9,4.2,10.6
6,3,3,5.8,43.4
8,9,4,5.1,10.0
1,9,7,4.5,28.9
9,11,5,2.0,10.0
7,1,5,2.5,51.6
2,8,2,2.9,47.0
1,13,4,5.2,20.4
11,4,8,5.4,10.0
7,3,9,1.4,34.8
10,13,2,0.2,10.0
0,10,0,0.6,54.7
11,3,7,5.5,16.4
1,11,7,0.8,26.6
3,3,8,2.5,49.5
7,14,7,4.4,10.0
4,12,6,4.4,10.0
0,4,8,4.3,48.5
11,2,4,7.4,25.0
9,6,3,3.5,26.1
11,5,4,1.3,25.4
8,0,1,0.4,67.9
5,3,4,4.1,51.1
1,4,0,4.8,70.1
6,2,0,4.6,62.0
0,0,6,1.5,78.3
0,3,4,0.3,77.1
8,10,9,7.0,10.0
2,14,6,3.6,12.5
7,10,9,0.8,10.0
4,5,0,5.3,47.7
1,10,3,5.2,33.6
1,4,2,4.9,62.1
4,6,5,1.9,41.8
11,9,0,6.8,12.6
1,3,0,0.7,81.1
2,1,2,0.9,79.2
9,8,7,3.1,10.0
8,13,1,7.2,10.0
5,5,8,6.6,21.9
11,13,3,7.3,10.0
8,4,2,5.6,35.9
6,0,4,5.0,59.2
0,4,2,6.3,58.5
11,11,7,1.6,10.0
1,13,0,0.9,40.0
8,14,3,7.4,10.0
11,7,6,6.7,10.0
2,12,5,3.4,26.4
7,9,7,6.2,10.0
6,14,6,4.1,10.0
10,2,1,0.1,53.5
5,4,9,0.1,39.9
9,11,3,3.8,10.0
7,2,4,4.7,43.3
7,14,5,6.6,10.0
9,11,0,4.7,11.6
7,9,2,4.7,23.6
0,7,7,8.0,30.3
6,11,8,0.0,10.0
10,5,0,2.8,39.2
7,9,1,7.4,20.0
1,13,2,3.1,30.7
3,6,9,1.9,30.3
11,10,1,3.5,10.0
11,2,3,6.1,26.9
5,2,2,6.1,52.0
3,3,0,2.7,68.5
10,10,6,0.9,10.0
1,8,7,7.7,21.2
1,11,1,1.8,43.6
1,14,2,7.4,18.7
1,6,6,3.2,46.8
6,3,6,7.9,28.9
8,14,5,2.0,10.0
9,9,4,5.4,10.0
11,12,1,6.6,10.0
8,2,5,3.2,40.4
5,7,4,1.2,40.6
9,9,9,0.8,10.0
2,3,5,1.8,59.9
10,10,5,0.4,10.0
10,6,6,6.9,10.0
11,2,7,5.6,19.1
6,12,8,5.2,10.0
10,12,7,5.6,10.0
7,7,3,5.1,28.1
11,1,6,0.3,38.5
8,3,4,4.6,29.7
3,5,1,3.3,60.0
4,14,8,1.3,10.0
0,5,9,5.3,43.0
4,14,2,3.4,13.5
9,3,6,2.1,33.0
6,13,1,5.9,11.0
10,4,8,0.5,25.9
11,14,2,2.9,10.0
1,5,1,2.2,66.5
10,8,2,1.0,23.8
4,7,2,1.0,51.1
8,11,7,1.7,10.0
11,10,5,0.2,10.0
2,4,8,4.8,44.9
1,6,7,4.1,43.5
4,1,3,6.9,55.6
10,9,2,6.4,10.0
8,13,7,7.8,10.0
9,11,0,0.2,22.4
3,0,6,4.0,60.2
0,8,0,1.3,68.4
5,9,4,3.8,23.5
8,0,4,1.5,55.5
3,14,5,0.6,17.0
8,1,8,6.6,25.4
10,2,2,3.5,39.9
6,10,0,5.5,26.6
0,7,6,0.9,55.4
5,5,1,4.6,48.9
1,5,9,6.6,35.2
7,6,1,7.1,31.1
6,8,5,2.4,24.7
6,11,3,7.3,10.0
3,3,1,3.9,66.4
0,7,1,2.0,70.9
6,3,2,4.4,49.1
4,14,6,5.5,10.0
4,12,1,0.7,35.1
8,10,4,5.5,10.0
2,12,6,6.1,12.1
4,12,8,3.4,10.0
9,3,8,7.2,12.5
10,6,2,1.8,32.2
1,12,9,1.5,16.1
10,14,3,5.0,10.0
4,14,6,3.7,10.0
4,3,1,3.3,64.5
1,6,0,5.0,64.2
8,3,0,2.9,52.5
2,6,4,7.7,39.4
11,5,6,7.2,10.0
0,6,6,2.5,49.1
10,0,5,1.5,44.3
3,10,4,1.4,34.7
3,11,4,6.2,18.1
4,12,1,4.8,24.5
2,7,5,4.3,37.9
7,0,6,5.2,40.2
6,3,6,5.9,36.0
0,8,7,1.8,41.8
0,9,7,7.8,25.1
7,5,0,2.8,46.6
4,11,8,0.6,15.2
1,2,7,6.7,49.8
11,0,4,4.2,41.9
7,5,1,0.1,56.6
7,10,8,4.9,10.0
6,13,0,5.0,17.4
6,0,6,5.4,48.0
9,14,3,4.8,10.0
1,2,2,2.1,75.1
9,13,4,8.0,10.0
3,12,6,3.7,15.0
8,7,6,3.1,17.6
10,4,8,0.0,24.2
10,12,8,4.6,10.0
8,3,1,3.9,51.2
1,9,5,7.6,28.3
9,2,0,2.6,52.3
1,13,7,5.4,12.6
1,11,0,5.0,42.4
4,9,3,6.3,25.6
7,9,4,6.4,12.8
2,9,3,0.0,47.0
8,5,0,6.9,32.2
0,14,4,0.9,33.6
4,3,5,0.4,57.8
7,6,8,6.5,11.7
1,7,4,0.7,57.3
5,14,9,0.4,10.0
2,12,0,1.9,42.0
8,7,3,4.2,27.9
6,5,4,7.0,29.2
10,4,7,7.3,11.1
8,13,7,3.6,10.0
5,6,3,4.7,36.3
8,8,8,7.4,10.0
1,9,3,6.2,36.6
9,7,8,5.0,10.0
1,4,0,2.0,73.8
3,11,4,3.8,26.7
4,2,9,6.9,37.0
9,12,2,2.5,10.0
8,10,4,1.2,16.2
1,6,9,1.2,44.0
7,14,4,6.2,10.0
4,6,4,1.3,43.9
8,7,0,0.4,41.7
4,11,9,6.8,10.0
11,9,3,7.5,10.0
1,10,0,7.9,39.7
7,5,4,2.9,38.1
0,10,4,7.3,26.4
2,6,8,1.2,42.6
3,11,4,7.9,13.2
9,1,8,0.1,34.3
6,12,3,2.8,11.4
11,12,7,6.0,10.0
2,13,5,4.8,10.4
0,9,8,3.2,31.1
3,1,9,0.6,53.0
7,13,6,7.6,10.0
1,11,8,6.8,10.0
6,12,0,0.6,28.3
1,13,9,6.0,10.0
0,12,4,1.3,35.2
8,5,2,7.7,28.8
9,0,7,0.5,47.2
2,13,8,1.5,11.7
11,6,6,6.2,10.0
5,5,4,0.1,50.1
1,2,7,7.0,49.3
8,7,3,2.1,29.9
1,0,8,6.9,53.2
4,3,1,3.8,56.9
4,7,1,0.5,51.0
9,8,9,4.3,10.0
5,1,6,5.8,45.1
11,13,5,4.3,10.0
4,5,7,7.2,24.6
7,7,6,6.0,14.4
10,13,9,1.0,10.0
10,10,6,0.4,10.0
8,13,8,2.9,10.0
8,2,5,5.6,35.0
6,7,0,6.9,33.3
1,11,7,6.9,13.4
2,7,6,0.5,47.5
4,11,0,6.4,28.5
1,2,1,2.3,79.3
7,3,3,7.3,35.9
3,2,2,4.0,66.4
6,2,7,1.2,48.1
4,4,0,7.9,47.7
8,6,9,1.6,18.4
9,1,0,2.2,60.2
2,2,1,4.2,76.0
3,8,2,0.2,49.4
5,13,0,6.6,13.7
10,2,1,3.6,41.8
6,5,1,2.8,50.8
7,5,4,3.5,37.8
7,4,8,7.8,17.7
0,14,1,3.9,29.4
5,5,7,6.0,24.2
11,14,4,0.1,10.0
0,10,4,6.0,32.8
0,10,0,0.8,54.9
11,12,7,6.3,10.0
3,1,5,7.3,52.1
10,13,8,1.9,10.0
8,6,6,2.2,23.1
9,3,1,6.5,39.7
11,4,1,6.3,29.2
1,5,3,6.3,52.0
3,11,8,6.5,10.0
5,13,1,2.8,23.1
10,3,4,7.6,19.8
7,8,6,7.2,10.0
1,5,7,1.0,55.2
11,14,2,0.3,10.0
0,14,4,7.3,15.1
2,10,1,1.7,47.1
0,13,3,5.9,21.8
9,3,6,5.3,25.5
10,6,0,5.8,26.9
0,6,6,4.9,45.7
4,11,8,2.3,10.0
9,3,1,4.8,42.1
8,13,4,4.3,10.0
6,0,3,2.5,62.3
4,13,5,2.8,15.4
3,14,0,5.2,18.3
4,4,0,6.7,50.8
4,3,8,4.8,36.8
4,1,8,3.5,50.2
1,13,9,1.0,16.7
6,8,4,0.1,34.8
7,9,3,0.7,32.3
10,4,1,0.5,43.8
4,1,8,1.3,57.2
1,2,7,7.2,48.7
7,9,1,1.2,34.3
6,1,4,1.5,58.3
3,1,7,4.9,53.2
7,0,7,4.3,43.9
6,12,5,6.7,10.0
9,2,1,1.8,52.4
6,12,0,3.9,19.5
10,1,2,0.9,50.4
4,9,8,4.7,15.0
6,5,8,4.8,28.3
5,9,0,6.8,30.6
7,5,5,2.6,32.5
0,3,9,2.4,53.0
8,12,0,7.6,10.0
9,7,9,3.6,10.0
6,10,4,2.3,18.1
11,6,8,4.8,10.0
3,1,6,1.1,63.7
1,10,0,3.1,47.9
6,0,8,3.7,43.3
7,11,5,7.1,10.0
5,4,5,5.8,39.7
4,4,2,3.1,55.9
2,5,1,3.7,62.8
0,2,5,7.5,58.0
2,1,8,6.7,46.5
3,3,3,0.9,63.3
7,10,7,2.9,10.0
10,7,4,3.7,17.9
7,13,0,1.6,18.5
8,0,7,1.0,46.8
1,10,4,2.5,39.5
0,6,5,5.3,49.4
10,13,6,7.7,10.0
3,1,6,7.8,45.9
6,2,0,7.0,53.5
2,12,5,5.7,14.7
8,1,0,0.6,68.1
4,2,8,0.1,54.8
1,10,9,0.2,29.4
2,2,0,0.8,84.2
11,4,3,3.7,30.5
5,4,5,0.1,52.3
10,2,4,2.8,37.2
10,6,9,7.6,10.0
6,5,6,4.5,28.1
9,11,3,4.8,10.0
8,8,2,3.9,26.2
10,3,1,7.9,30.1
4,13,4,1.3,17.2
4,0,7,7.8,47.3
5,10,4,3.7,25.0
4,9,6,7.4,12.8
8,6,0,5.1,33.7
8,5,6,1.6,33.4
4,4,8,6.4,28.1
11,14,4,1.1,10.0
0,3,4,6.5,60.3
6,4,1,0.3,60.1
10,5,4,1.1,30.9
8,4,6,2.9,31.3
3,12,3,0.5,30.8
0,0,3,6.5,75.3
0,9,3,3.6,42.9
7,2,6,5.0,36.9
2,3,1,0.8,75.0
1,1,4,0.1,76.3
5,13,0,7.9,10.0
1,6,5,1.2,49.1
3,12,9,6.6,10.0
9,0,0,5.1,54.1
11,12,3,6.4,10.0
0,8,7,4.8,34.5
7,12,5,3.1,10.0
7,6,1,4.2,37.7
8,9,3,4.3,14.6
10,7,1,1.4,31.9
3,11,5,5.1,20.1
0,3,5,1.4,68.8
5,5,5,4.3,34.8
9,8,8,5.4,10.0
3,4,4,6.5,48.6
0,10,5,4.3,32.3
4,10,4,4.9,21.7
9,4,4,5.8,23.5
3,5,9,2.9,38.0
0,14,4,0.4,28.7
6,11,4,2.4,17.2
9,7,2,0.9,27.8
1,3,0,6.1,68.6
5,3,2,6.5,46.9
1,4,7,7.7,41.2
4,12,6,4.8,10.0
1,7,4,3.8,47.3
8,7,5,7.5,10.0
0,3,2,7.4,64.1
1,12,4,5.1,22.4
7,3,0,6.2,45.8
8,12,3,1.6,10.0
0,12,8,4.1,17.2
9,7,2,2.7,28.3
11,9,4,6.6,10.0
11,4,1,7.1,23.3
2,1,3,3.2,73.4
3,12,8,3.8,10.0
4,5,2,1.8,56.5
0,2,1,7.0,70.9
10,4,1,1.1,41.1
10,14,4,7.3,10.0
4,14,3,4.9,11.8
10,7,2,2.0,25.4
6,10,4,3.4,20.9
0,13,4,0.8,34.9
2,12,0,4.8,34.9
7,14,9,6.5,10.0
3,1,0,5.2,71.5
1,12,9,1.3,17.0
2,14,2,4.4,20.4
10,0,4,6.6,33.6
6,0,8,6.9,39.4
6,0,5,6.0,51.5
7,10,5,2.9,15.3
6,10,7,7.8,10.0
2,5,0,6.5,59.1
1,6,6,6.7,35.2
11,5,2,6.8,19.0
7,3,5,5.9,32.3
3,1,2,4.0,73.9
7,12,6,3.6,10.0
1,7,5,6.1,37.0
11,13,9,3.9,10.0
7,8,9,7.2,10.0
7,2,7,1.8,45.0
9,4,5,6.2,20.7
5,13,6,1.9,10.0
6,7,5,3.8,26.9
6,13,2,0.7,19.2
2,6,1,4.0,57.2
0,4,2,4.2,69.3
7,1,0,1.4,66.8
5,5,5,2.6,39.2
5,10,6,1.7,20.1
6,14,3,3.4,10.0
10,0,3,5.1,42.9
9,11,9,1.1,10.0
8,14,0,3.2,10.7
10,13,8,4.4,10.0
6,6,8,6.4,15.6
10,8,6,5.0,10.0
10,14,9,6.6,10.0
2,13,4,0.6,26.7
7,4,7,1.5,35.1
6,7,5,7.4,15.8
4,10,1,5.3,31.2
11,0,8,3.3,26.3
10,3,9,2.9,18.1
6,1,5,6.0,43.5
8,10,0,7.1,15.6
6,8,2,4.3,31.4
9,12,4,1.1,10.0
11,12,2,6.9,10.0
10,2,1,3.2,42.9
4,9,3,7.1,23.9
9,14,5,6.2,10.0
5,2,6,2.6,48.6
10,14,1,0.9,10.0
6,11,5,4.1,11.8
2,0,2,0.6,84.7
4,5,0,6.6,48.0
8,5,9,0.5,26.4
0,9,3,7.5,36.9
5,9,2,4.0,30.2
7,2,8,3.9,34.7
3,7,5,6.7,34.0
0,4,1,4.4,73.5
0,6,1,3.4,60.2
2,9,2,1.6,44.5
9,8,5,5.8,10.0
4,3,5,4.0,49.2
3,0,7,4.0,59.7
8,1,3,2.0,53.1
3,3,2,1.1,70.5
2,12,9,2.5,10.0
11,10,1,6.4,10.0
9,2,3,5.0,38.8
7,3,2,2.8,51.0
8,2,4,2.4,46.6
11,7,5,0.0,17.8
8,8,5,0.2,26.8
10,13,8,3.8,10.0
6,11,5,2.1,15.7
3,11,4,7.5,17.2
11,9,1,4.5,10.0
8,8,2,7.2,16.9
1,14,5,1.6,22.4
5,1,3,1.0,66.9
9,5,2,6.7,26.9
10,13,6,4.9,10.0
0,5,6,5.7,48.1
2,7,5,4.4,36.2
6,3,3,2.9,51.2
7,0,3,2.3,61.1
6,11,6,0.8,12.9
9,13,6,0.6,10.0
11,12,9,3.6,10.0
4,2,7,2.3,49.8
9,1,7,4.6,31.7
10,14,9,5.7,10.0
1,6,5,5.2,44.3
4,4,2,7.1,46.9
6,8,2,5.9,25.8
5,3,5,3.2,48.1
0,2,1,2.9,79.6
8,8,0,0.5,39.5
5,6,1,4.4,44.8
2,0,1,5.4,74.9
2,0,7,2.5,64.3
5,13,6,6.8,10.0
6,2,1,2.9,61.4
3,2,7,2.9,53.7
6,0,9,2.5,40.0
2,13,1,0.8,34.2
2,0,7,7.9,51.2
3,1,2,3.9,70.0
11,1,8,7.5,11.7
1,2,6,4.6,63.1
6,10,5,6.9,10.0
4,9,7,4.8,16.6
8,2,6,5.2,32.5
8,12,8,7.6,10.0
0,8,6,6.1,31.6
11,0,9,1.4,30.9
9,4,9,5.3,12.4
1,9,3,2.7,46.6
3,1,2,3.3,71.6
4,4,1,6.9,46.5
6,4,2,6.8,40.6
4,2,7,2.8,53.7
0,11,7,7.3,18.9
3,1,8,3.8,52.9
4,7,9,2.3,26.8
11,1,9,0.4,28.4
1,1,2,2.5,79.4
0,12,0,6.1,34.6
1,1,7,3.8,62.5
3,14,8,1.7,10.0
9,9,8,3.8,10.0
2,5,5,7.3,40.4
11,2,2,2.3,41.6
7,12,5,5.5,10.0
3,4,7,1.1,48.0
3,2,6,7.0,45.2
4,6,1,4.1,49.0
0,11,3,2.3,37.1
0,12,1,6.8,33.9
9,2,3,1.1,46.9
4,0,5,2.8,63.9
5,7,9,1.4,23.1
2,2,6,7.0,51.8
3,0,5,3.5,68.0
7,11,6,2.3,10.0
4,2,1,6.8,58.0
8,4,4,7.2,28.1
1,4,7,0.8,58.6
5,8,1,4.8,34.8
8,2,4,4.4,42.2
4,11,0,6.7,22.1
4,9,1,4.0,38.1
10,10,6,0.7,10.0
4,10,7,7.8,10.0
10,6,5,4.4,17.6
5,9,8,5.1,10.0
7,14,2,0.4,14.1
7,3,3,6.4,36.2
0,2,2,7.2,67.7
3,1,4,2.3,68.0
8,9,9,2.3,10.0
11,1,0,1.6,51.2
5,6,3,4.4,38.5
4,11,9,0.2,16.7
4,2,8,1.0,49.8
3,13,6,4.9,10.0
4,14,6,3.9,10.0
1,11,6,6.0,20.3
8,14,9,5.9,10.0
2,14,3,3.5,18.7
0,11,0,5.4,35.0
1,12,5,6.9,13.6
4,10,5,4.8,14.0
11,7,5,7.7,10.0
9,6,5,7.9,10.0
4,4,4,4.1,50.2
10,10,6,2.1,10.0
2,6,2,6.3,48.7
5,0,3,1.4,69.9
3,10,5,6.2,17.8
1,7,4,3.5,47.8
3,10,7,6.2,12.3
4,9,7,2.4,23.6
5,2,9,3.6,37.3
0,6,1,6.7,55.4
6,11,0,2.7,28.8
0,3,6,3.3,62.3
3,13,5,4.6,13.4
9,1,3,5.1,42.4
3,9,1,1.5,45.8
0,10,8,4.9,21.8
8,3,6,3.9,34.7
8,6,1,6.3,30.8
2,10,4,5.2,26.8
10,1,3,4.0,40.9
3,4,7,6.9,33.6
0,5,9,4.8,36.1
0,4,3,3.8,68.0
2,11,2,1.6,40.5
4,6,7,1.6,36.5
8,12,4,1.2,10.0
8,5,5,6.6,19.8
1,10,1,0.3,49.5
10,4,5,7.7,10.1
9,8,7,4.7,10.0
4,10,1,0.9,39.3
9,2,1,6.5,38.3
2,0,4,7.0,64.7
5,11,3,2.9,21.6
2,11,3,2.9,33.4
1,2,4,6.8,62.7
9,7,6,3.9,14.3
2,11,1,4.1,36.1
1,13,2,7.1,17.8
0,10,3,1.0,47.7
6,10,5,7.1,10.0
5,9,3,7.4,19.1
3,4,9,0.1,45.7
2,5,4,5.5,46.7
5,7,7,2.3,31.3
3,5,0,4.5,56.9
5,14,2,5.2,10.0
8,4,7,4.7,20.9
6,0,4,5.4,55.2
2,10,8,4.5,14.5
11,4,6,5.9,14.3
3,11,8,4.3,10.0
8,11,9,1.6,10.0
5,7,0,1.6,49.3
1,4,6,5.2,46.8
9,13,7,4.1,10.0
7,5,0,2.9,48.8
2,5,0,4.5,62.7
2,2,9,7.9,38.9
4,11,7,5.0,10.7
8,6,5,5.5,18.7
9,12,6,5.4,10.0
6,13,3,5.6,10.0
7,8,9,1.6,10.0
6,1,4,1.0,58.8
7,12,4,6.2,10.0
7,12,8,1.9,10.0
1,2,2,0.1,81.2
1,5,0,2.4,71.4
8,4,1,3.7,44.4
3,4,9,2.1,40.7
5,11,1,0.7,33.5
6,1,9,2.0,41.6
0,6,5,0.6,60.9
7,3,7,4.3,36.8
10,8,9,5.5,10.0
0,0,6,5.7,65.1
9,11,0,6.3,10.0
7,4,7,0.4,38.1
0,13,6,6.0,12.5
1,6,1,6.0,57.4
1,4,9,4.1,41.2
3,0,5,4.8,61.5
1,2,6,5.4,55.2
5,8,5,4.0,24.6
6,0,0,7.9,57.4
0,6,8,0.4,50.0
1,8,2,0.9,55.5
6,3,4,2.2,48.6
2,2,7,4.6,54.8
4,14,1,7.4,10.1
1,13,3,7.7,10.9
11,3,4,7.7,19.7
2,3,8,7.6,40.1
10,11,1,6.9,10.0
9,8,5,4.3,12.2
5,2,6,5.4,45.1
6,9,9,0.2,14.1
3,14,1,0.2,30.4
9,10,9,7.0,10.0
7,10,9,2.9,10.0
1,11,3,3.0,38.3
3,7,3,1.5,49.5
4,10,5,2.1,24.2
2,6,1,5.7,51.9
3,10,8,6.9,10.0
4,11,4,3.0,21.9
4,9,4,5.3,24.8
3,10,6,5.9,16.4
11,11,5,4.1,10.0
6,0,9,3.2,46.1
1,4,3,4.8,57.1
4,4,5,4.5,41.0
2,13,1,2.6,33.0
8,0,8,2.7,40.0
3,9,3,1.6,40.5
2,0,6,4.5,64.3
10,12,8,7.5,10.0
5,6,6,2.7,34.6
8,2,2,5.4,45.6
11,0,1,6.6,42.0
3,0,5,7.7,55.8
1,14,2,6.4,21.1
7,0,5,0.8,59.7
11,2,6,0.6,32.2
10,14,3,5.7,10.0
1,1,4,5.8,65.5
3,1,0,7.0,65.8
1,7,0,6.3,52.0
8,1,7,4.7,37.3
0,7,5,5.6,41.9
0,7,0,4.9,59.7
6,8,4,7.2,17.2
6,11,4,3.6,13.0
7,10,7,1.4,13.4
2,10,0,1.5,50.1
3,6,0,0.2,65.7
10,4,0,6.5,29.6
2,2,6,4.7,56.3
9,9,3,3.7,13.0
1,9,6,5.9,28.6
5,9,9,2.5,13.8
2,11,4,5.8,21.5
3,3,6,6.9,43.9
0,2,4,4.9,70.3
10,12,3,7.8,10.0
7,5,6,5.9,22.1
1,4,5,3.5,56.6
8,1,3,5.0,43.6
6,5,0,1.0,54.1
6,4,6,7.3,26.0
0,9,7,5.2,29.7
1,9,4,3.3,39.6
4,11,9,6.8,10.0
10,3,8,0.5,27.1
2,6,7,4.3,40.7
7,8,1,5.9,25.4
10,0,6,5.6,31.7
8,7,7,0.1,21.4
3,0,3,1.8,73.0
5,10,0,6.9,26.9
8,14,0,2.1,10.0
4,4,4,3.8,42.5
6,0,7,7.9,36.4
1,1,3,4.8,68.0
3,10,0,4.5,37.6
8,13,2,4.6,10.0
9,7,2,1.4,33.9
1,14,8,5.5,10.0
3,12,3,0.2,30.7
8,8,3,2.6,23.0
8,12,3,2.5,10.0
5,0,4,0.6,68.0
5,9,6,2.7,21.8
1,11,3,4.8,34.3
11,12,6,3.0,10.0
2,6,4,0.2,57.3
0,3,3,5.0,69.5
8,3,7,2.4,38.0
1,5,7,8.0,35.5
5,9,8,7.2,10.0
3,3,3,3.9,59.3
9,12,3,2.9,10.0
2,13,6,0.6,24.7
11,10,5,0.0,10.0
9,12,3,6.4,10.0
